base_month,target_month,ref_month,USDJPY_pred_center_min,USDJPY_pred_center_max,USDJPY_pred_center_mid,USDJPY_pred_risk_lower,USDJPY_pred_risk_upper,USDJPY_actual,USDJPY_error_pct,USDTRY_pred_center_min,USDTRY_pred_center_max,USDTRY_pred_center_mid,USDTRY_pred_risk_lower,USDTRY_pred_risk_upper,USDTRY_actual,USDTRY_error_pct,TRYJPY_pred_center_min,TRYJPY_pred_center_max,TRYJPY_pred_center_mid,TRYJPY_pred_risk_lower,TRYJPY_pred_risk_upper,TRYJPY_actual,TRYJPY_error_pct
2023-10,2023-11,2023-09,149.59012807919345,151.49548624548515,150.5428071623393,142.8243123876018,158.2613019370768,151.65,-0.7300974860934419,28.724463488203586,29.231911818242285,28.978187653222935,27.49244420125203,30.46393110519384,28.65,1.145506643011996,5.11735698333084,5.274092806213789,5.195724894772314,4.929334382949135,5.462115406595493,5.293193717277488,-1.8413991195339385
2023-11,2023-12,2023-10,151.47439577953938,153.8000425114637,152.63721914550155,144.81134157212423,160.46309671887886,142.81,6.881324238849902,29.430234520059763,30.0038644868265,29.717049503443132,28.19342379434102,31.240675212545245,29.09,2.1555500290241736,5.048496197749651,5.225919705350393,5.137207951550023,4.873817667562424,5.400598235537622,4.909247163973874,4.64349787171078
2023-12,2024-01,2023-11,134.48770336294896,139.8074173412742,137.14756035211158,130.11585456756188,144.17926613666128,145.97,-6.044008801732148,27.67917684338507,29.912897272385763,28.796037057885414,27.31963266664301,30.272441449127818,30.07,-4.236657605968029,4.495977174604947,5.050996210340201,4.773486692472574,4.528744796213144,5.018228588732003,4.8543398736282,-1.6655855020550097
2024-01,2024-02,2023-12,145.3724001373304,149.1999067053686,147.2861534213495,139.7346308544296,154.83767598826938,149.51,-1.4874233018864924,31.022405964301782,31.991336501528167,31.506871232914975,29.891479401425208,33.12226306440474,30.78,2.361504980230583,4.5441177529543415,4.809424094219398,4.67677092358687,4.436987750835061,4.91655409633868,4.857374918778427,-3.7181399050204704
2024-02,2024-03,2024-01,148.17249362644387,153.13583454785322,150.65416408714856,142.929959920787,158.3783682535101,149.72,0.6239407474943625,31.450415465551934,32.565170590833134,32.00779302819254,30.366718387060246,33.64886766932483,32.03,-0.06933178834674855,4.55002970775634,4.869119605608549,4.709574656682444,4.468109600569598,4.951039712795291,4.674367780206056,0.7531901239237959
2024-03,2024-04,2024-02,149.63435665813648,149.93027933854742,149.78231799834197,142.10281433682468,157.46182165985925,153.84,-2.6375988050299255,33.27589178407266,33.332833549802395,33.30436266693753,31.596811478898914,35.01191385497614,32.37,2.8865080844532938,4.489098007061674,4.50567276487871,4.497385385970192,4.2667995064059925,4.727971265534392,4.752548656163114,-5.368977545595996
2024-04,2024-05,2024-03,151.59773499226924,158.0733578356899,154.83554641397956,146.89695819135406,162.77413463660505,155.77,-0.599893166861689,32.66387145399586,34.01845484426255,33.3411631491292,31.631725160021453,35.05060113823695,32.26,3.3514046780198496,4.45633805786559,4.839394437928832,4.647866247897211,4.409565049558403,4.886167446236018,4.828580285182889,-3.7425915406278425
2024-05,2024-06,2024-04,151.8597019232002,157.72419640247352,154.79194916283686,146.85559621907643,162.72830210659728,157.98,-2.0180091386018053,32.10509256312533,32.85652198572387,32.480807274424606,30.815480674286515,34.14613387456269,32.59,-0.33504978697575105,4.621904350959092,4.9127469759619835,4.767325663460538,4.522899649913359,5.011751677007716,4.847499232893525,-1.6539160829352164
2024-06,2024-07,2024-05,155.60314644024217,160.22133789602316,157.91224216813265,149.81590838097625,166.00857595528905,157.91,0.0014199025600996978,32.88029961369391,33.6385090550668,33.25940433438035,31.55415820934318,34.96465045941752,32.91,1.0616965493173887,4.62574444620947,4.872867333279851,4.749305889744661,4.505803769752343,4.9928080097369785,4.798237617745366,-1.019785427460718
2024-07,2024-08,2024-06,155.2513829317841,157.84001460967005,156.54569877072709,148.5194291618011,164.57196837965307,146.33,6.981274359821684,33.19264346770554,33.50424291449845,33.34844319110199,31.638631946260638,35.05825443594335,33.68,-0.9844323304572661,4.6620004448669325,4.755270991394191,4.708635718130562,4.467218802426701,4.9500526338344235,4.344714964370547,8.376170974261822
